participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.treatment,session.config.participation_fee,session.config.real_world_currency_per_point,consent_start.1.player.id_in_group,consent_start.1.player.payoff,consent_start.1.group.id_in_subsession,consent_start.1.subsession.round_number,ultimatum_t1.1.player.id_in_group,ultimatum_t1.1.player.valid_code,ultimatum_t1.1.player.payoff,ultimatum_t1.1.group.id_in_subsession,ultimatum_t1.1.group.amount_offered,ultimatum_t1.1.group.offer_accepted,ultimatum_t1.1.subsession.round_number,consent_start2_copy.1.player.id_in_group,consent_start2_copy.1.player.payoff,consent_start2_copy.1.group.id_in_subsession,consent_start2_copy.1.subsession.round_number,ultimatum_windfall_vignette.1.player.id_in_group,ultimatum_windfall_vignette.1.player.valid_code,ultimatum_windfall_vignette.1.player.payoff,ultimatum_windfall_vignette.1.group.id_in_subsession,ultimatum_windfall_vignette.1.group.amount_offered,ultimatum_windfall_vignette.1.group.offer_accepted,ultimatum_windfall_vignette.1.subsession.round_number
1,3fdy8hve,,0,9,9,ultimatum_t1,1,Validation,10.63.30.96,2017-08-17 23:46:36.449793+00:00,0,1,,,0.00,$0.25,uhntt31b,,,,,,1,direct_response,$0.25,0.01,1,0.00,1,1,1,,0.00,2,0.99,0,1,,,,,,,,,,,
2,9th0578r,,0,9,9,ultimatum_t1,1,Validation,10.63.30.96,2017-08-17 23:47:00.732214+00:00,0,1,,,0.00,$0.25,uhntt31b,,,,,,1,direct_response,$0.25,0.01,2,0.00,1,1,2,,0.00,2,0.99,0,1,,,,,,,,,,,
1,x2kg8vtl,,0,10,10,ultimatum_windfall_vignette,1,Validation,10.138.121.5,2017-08-17 23:47:55.311754+00:00,0,1,,,0.00,$0.25,c12dfekx,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,1,0.00,1,1,1,,0.00,2,0.99,0,1
2,f560sfy0,,0,10,10,ultimatum_windfall_vignette,1,Validation,10.138.121.5,2017-08-17 23:48:08.088151+00:00,0,1,,,0.00,$0.25,c12dfekx,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,2,0.00,1,1,2,,0.00,2,0.99,0,1
1,ldtye5q2,,0,3,9,ultimatum_t1,1,WaitToStart,10.63.30.96,2017-08-17 23:49:23.816340+00:00,0,1,,,0.00,$0.25,hbj18ji7,,,,,,1,direct_response,$0.25,0.01,1,0.00,1,1,1,,0.00,1,,,1,,,,,,,,,,,
2,q2pv6qcp,,0,0,9,,,,,,0,0,,,0.00,$0.25,hbj18ji7,,,,,,1,direct_response,$0.25,0.01,2,0.00,1,1,2,,0.00,1,,,1,,,,,,,,,,,
1,6yntxmvj,,0,4,10,ultimatum_windfall_vignette,1,WaitToStart,10.63.30.96,2017-08-17 23:49:43.330871+00:00,0,1,,,0.00,$0.25,4rv6dm89,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,1,0.00,1,1,1,,0.00,1,,,1
2,6fnh5qxl,,0,0,10,,,,,,0,0,,,0.00,$0.25,4rv6dm89,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,2,0.00,1,1,2,,0.00,1,,,1
1,y783iimt,,0,8,9,ultimatum_t1,1,Results,10.157.160.84,2017-08-17 23:56:47.469104+00:00,0,1,,,0.00,$0.25,1xlykfel,,,,,,1,direct_response,$0.25,0.01,1,0.00,1,1,1,,0.00,2,0.00,0,1,,,,,,,,,,,
2,dzmw8zsf,,0,8,9,ultimatum_t1,1,Results,10.157.160.84,2017-08-17 23:57:00.696942+00:00,0,1,,,0.00,$0.25,1xlykfel,,,,,,1,direct_response,$0.25,0.01,2,0.00,1,1,2,,0.00,2,0.00,0,1,,,,,,,,,,,
1,q6nbxbkg,,0,9,10,ultimatum_windfall_vignette,1,Results,10.45.73.26,2017-08-17 23:57:14.168223+00:00,0,1,,,0.00,$0.25,zqn0u9te,,,,,,1,direct_response,$0.25,0.01,,,,,,,,,,,,1,0.00,1,1,1,,0.00,2,0.00,0,1
